Card Name,Card Description,Due Date,List Name
Chargement et exploration du dataset eu_trips_v2.csv,"Chargement du fichier CSV (142 420 lignes), analyse des colonnes disponibles, identification des valeurs manquantes et des types de données",05/30/2026,Terminé
Nettoyage des données,"Suppression de route_long_name (44% manquants), vérification des NaN sur les features retenues, harmonisation des types",05/30/2026,Terminé
Feature engineering,"Création de vitesse_moyenne_kmh, co2_par_km, is_diesel, is_electric. Création des variables cibles kgCO2_futur (4 scénarios) et substitution_avion (règles métier 300-1500km ET durée < 480min)",05/31/2026,Terminé
Analyse exploratoire et heatmap de corrélation,"Visualisation des distributions, heatmap des corrélations (distance_km / consommation_totale = 0.99), identification de la circularité features/cibles",05/31/2026,Terminé
Split 70/15/15 stratifié,"Découpage du dataset en jeu entraînement (70%), validation (15%) et test (15%). Stratification pour conserver le déséquilibre 91.6%/8.4% dans les 3 ensembles",06/01/2026,Terminé
Pipeline sklearn régression CO2,"Construction du ColumnTransformer (StandardScaler sur numériques, OneHotEncoder sur catégorielles) intégré dans un Pipeline sklearn avec XGBoost Regressor",06/02/2026,Terminé
Entraînement 3 modèles régression,"Entraînement et comparaison Régression Linéaire (baseline R²=0.61), Random Forest (MAE=0.024) et XGBoost (MAE=3.57 R²=0.9998). XGBoost retenu par GridSearchCV",06/03/2026,Terminé
GridSearchCV régression CO2,"Optimisation XGBoost sur 18 combinaisons x 5 folds = 90 entraînements. Meilleurs paramètres : learning_rate=0.2, max_depth=7, n_estimators=200. Score R²=1.0000",06/03/2026,Terminé
Cross-validation régression CO2,"Cross-validation 5 folds sur le modèle final. R² moyen = 1.0000, écart-type = 0.0001. Modèle stable confirmé",06/04/2026,Terminé
Sauvegarde modèle régression,"Sauvegarde du Pipeline complet (préprocesseur + XGBoost) dans models/regression_co2.joblib via joblib.dump",06/04/2026,Terminé
Encodage LabelEncoder classification,"Encodage type_train (electric=1, diesel=0) et country (DE=0, ES=1, FR=2, IT=3). Sauvegarde dans models/encoders.joblib",06/05/2026,Terminé
Gestion déséquilibre des classes,"Calcul scale_pos_weight=10.92 pour XGBoost. class_weight=balanced pour Logistic Regression. Choix F1-macro comme métrique principale",06/05/2026,Terminé
Entraînement 3 modèles classification,"Entraînement et comparaison Logistic Regression (F1=0.954), Random Forest (F1=1.000) et XGBoost (F1=0.993 Recall=100%). XGBoost retenu",06/05/2026,Terminé
GridSearchCV classification,"Optimisation XGBoost sur 18 combinaisons x 5 folds. Meilleurs paramètres : learning_rate=0.2, max_depth=7, n_estimators=200. F1-macro=0.9974",06/06/2026,Terminé
Cross-validation classification,"Cross-validation 5 folds. F1 moyen=0.9974, écart-type=0.0004. 1789/1792 liaisons substituables détectées. 3 manquées seulement",06/06/2026,Terminé
